ra,dec,V,eV,I,eI
1 00 05.340,-33 26 23.700,22.892,0.051,22.656,0.173
0 59 53.090,-33 26 23.800,22.717,0.044,22.165,0.110
0 59 11.750,-33 26 24.100,22.253,0.031,21.468,0.055
1 07 14.200,-33 26 24.600,23.348,0.181,20.410,0.032
0 59 07.310,-33 26 24.700,19.872,0.007,16.720,0.002
1 07 12.290,-33 26 24.900,20.585,0.012,19.000,0.009
1 01 29.060,-33 26 25.300,21.906,0.033,21.080,0.043
1 01 59.000,-33 26 25.600,20.700,0.015,18.564,0.006
1 05 16.480,-33 26 26.200,18.761,0.004,17.839,0.004
1 00 32.210,-33 26 26.300,23.613,0.103,21.623,0.054
0 55 54.360,-33 26 26.500,18.490,0.005,17.908,0.005
0 56 21.580,-33 26 26.500,22.030,0.036,20.135,0.021
1 01 18.400,-33 26 26.800,22.360,0.037,20.081,0.014
1 01 48.320,-33 26 28.000,20.188,0.010,19.426,0.012
0 59 49.980,-33 26 28.200,21.479,0.017,20.903,0.037
1 05 31.510,-33 26 29.000,21.910,0.049,20.830,0.048
0 59 54.600,-33 26 29.100,22.517,0.038,21.845,0.082
0 56 08.380,-33 26 29.800,21.130,0.018,19.479,0.013
0 53 39.280,-33 26 30.100,19.438,0.008,19.167,0.014
1 02 03.830,-33 26 30.300,20.775,0.015,18.872,0.007
0 55 19.250,-33 26 30.500,22.136,0.037,21.614,0.083
0 55 30.130,-33 26 30.700,19.410,0.006,17.759,0.004
0 59 39.690,-33 26 30.900,21.403,0.016,20.729,0.031
1 06 51.190,-33 26 31.000,21.986,0.050,21.700,0.117
0 53 40.930,-33 26 31.200,18.496,0.005,16.634,0.002
0 59 25.300,-33 26 31.400,19.655,0.006,18.735,0.007
0 54 37.300,-33 26 31.600,21.694,0.055,19.175,0.012
1 03 41.430,-33 26 31.700,21.578,0.052,20.428,0.038
1 04 06.550,-33 26 31.700,17.407,0.003,16.232,0.002
1 00 40.810,-33 26 32.000,20.222,0.008,19.979,0.018
0 54 09.490,-33 26 33.800,20.533,0.021,18.118,0.006
0 56 43.530,-33 26 34.100,19.950,0.008,18.503,0.006
0 59 27.660,-33 26 34.200,20.963,0.012,20.209,0.020
0 57 09.150,-33 26 34.500,17.158,0.002,15.529,0.001
0 54 37.880,-33 26 34.800,23.036,0.163,21.318,0.079
1 00 27.940,-33 26 35.500,22.506,0.038,21.912,0.087
0 58 26.400,-33 26 35.900,22.630,0.061,22.090,0.103
0 57 58.740,-33 26 36.300,20.031,0.009,19.784,0.016
1 00 56.660,-33 26 36.400,22.973,0.065,20.297,0.017
1 05 05.660,-33 26 36.700,21.858,0.030,19.805,0.017
0 56 48.320,-33 26 36.800,18.244,0.003,16.173,0.002
1 00 24.660,-33 26 37.000,21.875,0.023,21.417,0.058
0 56 35.690,-33 26 37.400,20.957,0.015,20.482,0.030
1 00 10.830,-33 26 37.400,20.272,0.008,20.129,0.021
1 01 20.190,-33 26 38.200,22.640,0.062,21.685,0.075
1 03 05.540,-33 26 38.400,16.290,0.001,15.614,0.001
1 00 00.040,-33 26 38.500,17.780,0.002,16.677,0.002
1 05 31.820,-33 26 38.800,21.704,0.027,19.314,0.011
1 02 54.540,-33 26 38.900,21.414,0.023,20.575,0.028
1 03 53.540,-33 26 39.600,18.594,0.005,16.798,0.003
1 00 08.990,-33 26 39.700,21.594,0.019,21.076,0.043
1 01 00.080,-33 26 40.000,21.476,0.018,20.750,0.032
1 02 16.040,-33 26 40.100,15.587,0.001,15.001,0.001
1 05 11.370,-33 26 40.200,19.024,0.004,18.141,0.005
1 06 53.270,-33 26 40.300,17.031,0.002,16.542,0.002
1 00 25.980,-33 26 41.100,19.193,0.004,18.441,0.006
0 59 33.070,-33 26 41.300,21.556,0.018,20.793,0.032
1 06 51.510,-33 26 41.700,18.683,0.004,16.284,0.002
0 59 54.020,-33 26 41.900,22.960,0.054,22.413,0.136
0 58 28.790,-33 26 42.400,20.083,0.010,18.104,0.005
1 01 17.940,-33 26 42.800,21.490,0.017,20.797,0.032
0 59 14.840,-33 26 43.600,21.036,0.013,20.177,0.019
0 52 46.030,-33 26 44.500,16.916,0.002,16.486,0.002
1 06 51.100,-33 26 45.000,15.686,0.001,14.505,0.001
1 06 04.370,-33 26 45.800,23.461,0.203,21.048,0.056
0 59 08.960,-33 26 46.300,21.291,0.017,18.719,0.005
1 00 53.910,-33 26 46.400,22.987,0.078,22.209,0.113
1 03 42.450,-33 26 46.900,23.626,0.288,22.927,0.327
1 03 26.470,-33 26 47.200,20.916,0.016,18.768,0.006
1 00 38.180,-33 26 47.800,22.316,0.033,21.674,0.070
1 07 27.030,-33 26 48.500,20.397,0.010,18.670,0.007
0 55 31.630,-33 26 48.800,20.641,0.013,18.814,0.008
0 59 38.900,-33 26 48.900,21.074,0.013,20.548,0.028
0 53 30.160,-33 26 49.400,21.184,0.037,18.359,0.006
1 00 00.570,-33 26 49.500,22.470,0.037,21.825,0.081
0 53 02.810,-33 26 49.800,22.877,0.138,21.843,0.132
0 56 09.270,-33 26 49.800,20.989,0.017,18.637,0.007
0 54 14.000,-33 26 50.500,21.500,0.046,19.170,0.012
1 01 10.200,-33 26 51.500,20.837,0.011,20.007,0.017
0 59 47.160,-33 26 52.000,20.222,0.008,19.338,0.010
0 59 52.150,-33 26 52.000,20.377,0.008,19.814,0.015
0 56 03.980,-33 26 52.400,20.189,0.010,18.518,0.007
0 59 05.250,-33 26 53.600,19.866,0.006,18.930,0.007
1 04 43.170,-33 26 54.500,19.707,0.012,17.311,0.003
1 02 56.840,-33 26 54.700,18.375,0.004,16.226,0.002
0 59 31.050,-33 26 55.300,16.477,0.001,15.771,0.001
1 06 26.890,-33 26 55.900,22.877,0.108,21.645,0.099
0 58 58.780,-33 26 56.200,20.540,0.009,19.775,0.013
0 59 40.700,-33 26 57.000,21.230,0.015,20.435,0.024
1 01 11.840,-33 26 57.200,22.495,0.038,21.821,0.079
0 58 21.690,-33 26 57.400,22.194,0.045,20.787,0.032
0 57 35.690,-33 26 57.500,21.334,0.022,20.700,0.032
1 05 10.950,-33 26 57.500,23.521,0.212,21.295,0.072
1 00 58.720,-33 26 57.700,20.481,0.010,18.706,0.006
0 59 12.060,-33 26 58.000,22.023,0.027,21.038,0.037
1 04 21.230,-33 26 58.700,19.627,0.011,17.629,0.004
0 54 01.280,-33 26 58.900,20.014,0.014,18.257,0.006
0 56 06.320,-33 26 59.100,22.542,0.055,21.246,0.057
1 02 02.210,-33 26 59.900,16.497,0.002,15.281,0.001
0 54 30.710,-33 27 00.300,20.476,0.018,19.887,0.024
0 59 52.460,-33 27 00.300,20.266,0.008,20.090,0.020
0 54 14.590,-33 27 01.000,18.587,0.005,17.721,0.005
0 54 52.850,-33 27 01.400,22.794,0.060,22.234,0.134
0 59 47.580,-33 27 01.400,19.112,0.004,18.146,0.005
1 04 52.720,-33 27 01.600,19.303,0.005,17.235,0.003
1 07 16.070,-33 27 02.100,19.749,0.007,19.129,0.011
0 55 17.580,-33 27 02.400,18.451,0.004,16.184,0.002
1 06 10.320,-33 27 02.500,19.559,0.008,18.942,0.011
1 00 10.150,-33 27 04.300,19.334,0.005,18.444,0.006
0 59 45.320,-33 27 04.600,21.809,0.022,21.209,0.048
1 04 11.470,-33 27 05.000,22.985,0.195,20.642,0.047
0 59 18.590,-33 27 05.400,22.658,0.044,22.013,0.092
0 54 39.520,-33 27 07.400,17.998,0.003,17.363,0.004
1 01 21.860,-33 27 08.100,20.179,0.008,18.263,0.004
1 07 10.670,-33 27 09.400,22.900,0.125,20.123,0.026
1 04 16.630,-33 27 09.700,18.509,0.005,17.823,0.005
1 06 05.360,-33 27 09.900,21.437,0.021,20.195,0.025
1 07 03.320,-33 27 10.000,17.994,0.003,16.660,0.002
1 02 48.320,-33 27 10.200,19.990,0.009,19.359,0.011
1 04 34.870,-33 27 10.600,18.721,0.006,17.272,0.003
1 03 44.010,-33 27 10.800,18.989,0.007,18.069,0.006
1 04 56.750,-33 27 11.000,15.234,0.001,14.408,0.001
0 55 18.620,-33 27 11.100,18.333,0.003,17.088,0.003
0 58 19.790,-33 27 11.200,18.687,0.004,17.897,0.004
0 55 28.880,-33 27 11.400,22.075,0.036,21.020,0.047
1 03 40.110,-33 27 11.600,16.325,0.001,14.984,0.001
0 59 20.840,-33 27 12.500,20.189,0.008,19.032,0.008
0 52 53.880,-33 27 12.700,21.866,0.055,21.356,0.087
0 55 55.820,-33 27 13.000,20.609,0.012,19.991,0.021
1 01 47.830,-33 27 13.000,23.261,0.098,22.722,0.177
1 03 04.490,-33 27 13.800,18.096,0.003,17.263,0.003
0 59 08.810,-33 27 14.300,20.439,0.008,20.401,0.025
0 54 42.640,-33 27 15.200,21.397,0.042,18.987,0.011
0 58 15.730,-33 27 16.200,16.996,0.002,15.786,0.001
1 01 45.800,-33 27 16.200,20.333,0.011,19.381,0.011
1 04 34.260,-33 27 16.700,21.427,0.045,20.866,0.062
1 00 32.660,-33 27 16.800,22.051,0.027,21.352,0.053
1 00 37.080,-33 27 17.300,20.059,0.007,19.687,0.014
0 53 58.420,-33 27 17.700,21.654,0.053,20.038,0.027
0 58 18.580,-33 27 17.900,17.195,0.002,15.410,0.001
1 07 10.790,-33 27 18.000,15.583,0.001,14.730,0.001
0 58 37.940,-33 27 18.700,22.707,0.065,22.066,0.099
0 55 58.150,-33 27 18.800,22.589,0.054,21.968,0.110
1 00 15.260,-33 27 19.000,20.250,0.008,20.063,0.020
1 04 25.060,-33 27 19.500,22.618,0.139,20.774,0.054
1 05 52.230,-33 27 20.600,17.050,0.002,16.383,0.002
0 56 13.690,-33 27 20.700,22.687,0.065,20.064,0.020
0 57 17.230,-33 27 21.000,22.677,0.073,20.392,0.023
1 01 13.980,-33 27 21.600,18.667,0.003,16.665,0.002
0 53 26.350,-33 27 22.000,22.036,0.077,19.760,0.021
0 56 30.310,-33 27 22.200,22.593,0.052,22.123,0.124
0 57 35.750,-33 27 22.400,22.626,0.062,21.880,0.085
1 06 35.350,-33 27 22.400,23.212,0.150,21.195,0.064
0 59 27.090,-33 27 23.000,22.690,0.047,20.896,0.030
1 05 38.560,-33 27 23.100,22.800,0.114,20.594,0.038
0 56 48.810,-33 27 23.800,22.701,0.063,21.993,0.120
0 59 06.720,-33 27 23.800,20.911,0.013,18.590,0.005
0 58 16.620,-33 27 24.400,23.077,0.088,22.575,0.155
0 59 21.360,-33 27 24.600,20.391,0.008,20.271,0.023
1 06 52.610,-33 27 24.700,22.786,0.118,19.882,0.021
1 00 31.100,-33 27 24.800,20.995,0.014,18.582,0.005
0 59 45.270,-33 27 25.100,19.632,0.006,18.759,0.007
0 53 53.610,-33 27 25.500,22.444,0.110,20.055,0.026
0 59 59.560,-33 27 26.100,20.239,0.008,20.028,0.019
1 01 58.800,-33 27 27.400,22.326,0.044,22.244,0.121
1 03 30.030,-33 27 28.400,20.531,0.021,19.832,0.023
0 57 54.820,-33 27 28.500,22.388,0.051,21.718,0.075
1 04 01.210,-33 27 28.600,17.017,0.002,15.097,0.001
0 57 50.000,-33 27 29.300,19.728,0.008,18.682,0.007
1 01 21.970,-33 27 29.300,17.756,0.002,16.769,0.002
0 59 29.470,-33 27 29.700,22.243,0.030,21.671,0.071
1 01 49.670,-33 27 29.800,22.652,0.059,21.969,0.093
0 59 34.400,-33 27 29.900,21.614,0.019,20.948,0.038
0 59 55.730,-33 27 30.200,18.182,0.003,17.183,0.003
1 05 39.400,-33 27 30.600,19.859,0.007,19.111,0.010
0 55 13.670,-33 27 30.900,22.136,0.041,19.715,0.015
1 00 58.890,-33 27 31.000,20.363,0.009,19.481,0.011
0 59 10.260,-33 27 31.100,20.586,0.010,19.738,0.013
0 54 27.350,-33 27 31.300,20.377,0.018,18.172,0.006
1 00 18.470,-33 27 31.400,20.017,0.007,19.161,0.009
0 55 10.640,-33 27 31.500,17.322,0.002,16.339,0.002
1 05 46.900,-33 27 31.500,17.562,0.002,16.499,0.002
1 01 16.610,-33 27 31.700,22.120,0.028,21.433,0.057
0 57 50.830,-33 27 32.200,23.145,0.093,22.931,0.215
1 07 00.930,-33 27 32.300,20.038,0.009,18.071,0.005
0 52 57.030,-33 27 33.000,16.312,0.001,15.624,0.001
1 03 49.340,-33 27 33.200,17.688,0.003,16.562,0.002
0 58 01.740,-33 27 34.400,23.547,0.162,20.071,0.017
0 53 53.530,-33 27 34.900,18.907,0.006,18.145,0.006
0 59 58.780,-33 27 34.900,20.451,0.010,18.555,0.005
0 53 47.320,-33 27 35.700,22.329,0.097,20.234,0.031
0 57 51.820,-33 27 35.800,22.901,0.076,22.681,0.175
1 03 02.000,-33 27 35.800,17.258,0.002,15.413,0.001
0 58 01.340,-33 27 35.900,20.156,0.010,19.760,0.015
0 58 04.850,-33 27 36.300,22.179,0.058,19.487,0.014
1 02 10.400,-33 27 36.600,19.113,0.005,18.377,0.005
0 56 08.680,-33 27 36.800,18.582,0.004,17.708,0.004
0 59 30.900,-33 27 36.800,17.241,0.002,16.621,0.002
0 55 44.510,-33 27 37.100,19.858,0.008,17.981,0.005
1 01 14.920,-33 27 37.100,21.814,0.022,21.033,0.040
1 00 14.870,-33 27 37.500,19.417,0.005,18.194,0.005
1 00 29.930,-33 27 37.500,22.866,0.052,22.008,0.091
1 05 34.670,-33 27 37.500,22.019,0.035,19.877,0.018
0 58 32.640,-33 27 37.600,22.873,0.076,21.806,0.077
0 55 14.430,-33 27 38.100,20.192,0.009,20.144,0.024
0 57 49.010,-33 27 38.100,17.441,0.002,15.986,0.001
1 07 12.500,-33 27 38.100,19.975,0.008,18.617,0.007
0 59 49.770,-33 27 38.500,19.290,0.005,18.452,0.006
0 58 54.810,-33 27 39.200,21.631,0.019,20.805,0.031
1 00 46.330,-33 27 39.700,23.509,0.094,22.301,0.116
0 54 30.940,-33 27 40.000,20.456,0.018,19.788,0.023
0 54 47.830,-33 27 40.000,20.183,0.009,19.449,0.013
1 05 13.860,-33 27 40.200,18.514,0.004,17.578,0.004
1 03 38.930,-33 27 40.500,20.514,0.021,19.719,0.021
0 58 34.670,-33 27 40.800,22.349,0.048,21.651,0.069
0 59 17.980,-33 27 40.800,22.019,0.027,21.378,0.054
0 57 48.090,-33 27 43.400,18.669,0.005,16.365,0.002
0 59 42.600,-33 27 43.600,22.368,0.033,22.294,0.133
0 54 09.150,-33 27 43.900,18.974,0.007,16.503,0.002
0 59 54.980,-33 27 44.700,15.838,0.001,14.681,0.001
0 59 44.090,-33 27 45.800,21.306,0.016,20.519,0.026
1 04 05.230,-33 27 45.800,22.656,0.141,20.924,0.058
1 00 54.450,-33 27 45.900,21.270,0.017,18.863,0.006
1 07 09.490,-33 27 47.100,16.235,0.001,15.500,0.001
1 06 38.100,-33 27 47.300,23.010,0.129,20.728,0.042
1 07 20.940,-33 27 47.300,20.976,0.015,19.610,0.015
1 03 25.500,-33 27 47.400,22.056,0.083,20.447,0.039
0 59 41.400,-33 27 48.200,21.027,0.013,20.219,0.020
0 53 31.980,-33 27 48.500,19.080,0.007,18.556,0.008
1 00 51.000,-33 27 48.500,20.112,0.007,19.471,0.012
0 58 50.300,-33 27 48.600,22.845,0.048,22.343,0.118
0 56 32.990,-33 27 48.800,22.585,0.053,21.703,0.085
1 00 49.370,-33 27 49.000,22.567,0.044,20.915,0.033
0 59 50.560,-33 27 49.100,20.143,0.008,19.288,0.010
1 00 55.020,-33 27 49.200,20.306,0.009,18.264,0.004
0 59 46.990,-33 27 51.100,21.837,0.023,21.137,0.045
1 00 21.710,-33 27 51.300,19.982,0.007,19.072,0.008
1 00 50.840,-33 27 52.600,19.948,0.007,19.116,0.009
1 00 57.930,-33 27 53.900,20.400,0.009,18.155,0.004
0 59 47.360,-33 27 54.500,22.915,0.053,22.300,0.123
1 01 00.920,-33 27 55.000,17.903,0.002,16.757,0.002
1 03 43.220,-33 27 55.600,18.555,0.005,16.689,0.002
0 54 43.330,-33 27 55.700,21.834,0.055,20.992,0.063
1 04 32.170,-33 27 56.300,20.329,0.019,19.545,0.020
0 53 14.390,-33 27 56.800,16.649,0.002,16.090,0.002
0 59 49.380,-33 27 58.400,22.199,0.030,21.495,0.061
0 58 01.680,-33 27 58.700,19.575,0.007,18.978,0.008
0 57 13.870,-33 27 59.300,20.887,0.015,20.063,0.022
1 01 59.990,-33 27 59.300,16.904,0.002,15.200,0.001
0 56 17.930,-33 27 59.400,21.030,0.018,18.966,0.009
0 59 24.930,-33 27 59.800,22.068,0.027,21.453,0.058
0 56 37.400,-33 28 00.600,18.720,0.004,17.798,0.004
1 01 15.030,-33 28 00.600,21.345,0.016,20.583,0.027
1 00 52.080,-33 28 01.000,19.367,0.005,18.499,0.006
1 01 01.560,-33 28 01.000,22.878,0.054,21.913,0.085
0 59 33.450,-33 28 01.200,19.590,0.006,17.082,0.002
0 56 21.400,-33 28 01.300,23.500,0.129,20.830,0.037
0 57 09.120,-33 28 01.500,21.087,0.018,20.301,0.028
0 55 07.830,-33 28 02.800,21.476,0.022,20.626,0.035
0 59 41.780,-33 28 03.000,23.351,0.086,20.890,0.028
0 59 35.190,-33 28 03.100,22.051,0.026,21.595,0.068
0 57 55.450,-33 28 03.400,22.544,0.068,22.249,0.153
1 01 07.740,-33 28 04.300,19.226,0.004,18.297,0.005
0 54 01.440,-33 28 05.000,20.862,0.029,18.459,0.007
1 00 35.520,-33 28 05.400,20.809,0.011,19.978,0.017
0 57 19.700,-33 28 05.500,18.816,0.004,17.920,0.005
1 01 02.970,-33 28 05.500,22.892,0.053,22.166,0.109
1 01 10.430,-33 28 05.500,19.005,0.004,18.068,0.004
0 59 49.020,-33 28 05.800,22.397,0.039,20.251,0.017
0 59 45.180,-33 28 06.300,23.736,0.108,22.776,0.175
1 04 27.270,-33 28 06.400,21.353,0.048,19.187,0.014
0 59 44.300,-33 28 06.900,21.712,0.021,20.982,0.039
0 53 48.980,-33 28 07.000,16.453,0.002,15.781,0.001
0 59 23.540,-33 28 07.500,20.398,0.013,20.362,0.032
0 58 41.350,-33 28 07.600,19.728,0.009,18.961,0.010
1 01 18.280,-33 28 07.600,19.742,0.006,18.957,0.008
1 05 36.600,-33 28 07.700,22.306,0.069,21.409,0.082
0 56 37.940,-33 28 07.900,21.127,0.018,19.446,0.013
0 59 06.270,-33 28 08.700,23.153,0.065,22.511,0.139
0 59 16.300,-33 28 08.800,20.970,0.020,20.165,0.026
1 03 37.330,-33 28 08.800,21.187,0.039,19.560,0.018
0 52 54.230,-33 28 08.900,22.322,0.090,20.599,0.043
1 06 39.930,-33 28 08.900,23.190,0.149,21.117,0.060
0 54 24.330,-33 28 09.400,17.801,0.003,15.695,0.001
1 05 46.480,-33 28 09.400,20.615,0.012,18.873,0.008
0 58 38.810,-33 28 10.000,17.850,0.003,15.941,0.002
1 01 25.760,-33 28 10.000,19.825,0.012,18.799,0.014
1 00 04.820,-33 28 10.200,18.488,0.003,17.525,0.003
0 58 54.790,-33 28 10.900,20.090,0.007,19.472,0.011
0 58 11.620,-33 28 11.000,21.336,0.026,20.717,0.041
1 05 54.950,-33 28 11.200,22.461,0.093,19.195,0.011
0 59 44.130,-33 28 11.900,17.646,0.002,16.403,0.002
0 59 06.850,-33 28 12.200,22.876,0.052,22.331,0.121
0 55 51.160,-33 28 12.500,20.753,0.014,19.314,0.012
0 58 31.990,-33 28 12.700,21.572,0.031,20.915,0.048
1 06 15.890,-33 28 13.300,23.600,0.197,22.650,0.238
0 59 33.580,-33 28 13.900,22.756,0.045,22.447,0.145
0 58 33.820,-33 28 14.100,20.633,0.017,18.557,0.007
1 00 00.040,-33 28 14.100,20.149,0.007,19.870,0.017
1 01 06.280,-33 28 14.500,19.600,0.006,17.167,0.002
0 53 22.350,-33 28 14.700,19.966,0.013,18.846,0.011
0 54 31.430,-33 28 14.800,19.378,0.008,17.727,0.004
0 59 01.260,-33 28 15.300,21.132,0.014,20.314,0.021
1 02 41.650,-33 28 16.000,17.629,0.004,16.454,0.003
1 05 36.990,-33 28 16.400,23.648,0.215,22.637,0.233
1 00 14.350,-33 28 16.600,21.447,0.018,19.785,0.013
1 01 34.280,-33 28 16.900,19.662,0.011,18.672,0.013
1 07 11.080,-33 28 17.000,19.299,0.005,17.768,0.004
1 05 41.910,-33 28 17.100,18.848,0.004,17.456,0.003
1 02 16.610,-33 28 17.500,22.044,0.057,21.567,0.147
1 02 05.000,-33 28 17.700,18.517,0.006,16.993,0.004
0 55 54.830,-33 28 17.900,22.630,0.062,20.768,0.037
1 07 22.860,-33 28 18.200,18.337,0.003,16.679,0.002
1 00 50.190,-33 28 18.300,22.350,0.035,21.715,0.077
1 00 19.200,-33 28 18.900,20.083,0.007,19.184,0.009
1 03 11.090,-33 28 19.000,19.669,0.011,18.835,0.010
0 59 18.100,-33 28 20.300,20.628,0.010,19.821,0.015
1 00 41.570,-33 28 20.300,18.914,0.004,17.420,0.003
1 06 34.680,-33 28 20.300,23.324,0.157,22.222,0.164
0 59 16.920,-33 28 20.700,22.520,0.039,21.934,0.087
1 05 25.340,-33 28 20.800,21.139,0.026,20.612,0.045
1 03 34.410,-33 28 21.100,15.753,0.001,15.179,0.001
0 59 46.510,-33 28 21.600,20.576,0.010,19.746,0.014
0 57 03.960,-33 28 22.000,22.184,0.041,21.323,0.066
0 55 17.480,-33 28 22.100,23.441,0.113,22.373,0.157
0 53 43.480,-33 28 22.500,17.124,0.002,16.549,0.002
0 56 52.100,-33 28 23.000,19.935,0.008,19.291,0.013
1 00 05.340,-33 28 23.200,19.572,0.006,18.761,0.007
0 54 43.540,-33 28 24.500,20.844,0.025,19.564,0.018
0 59 41.510,-33 28 24.500,20.506,0.009,20.508,0.029
0 59 31.610,-33 28 25.800,21.965,0.025,21.357,0.055
1 06 56.820,-33 28 26.800,16.390,0.001,15.751,0.001
0 59 59.620,-33 28 27.100,22.482,0.037,22.365,0.142
1 00 20.180,-33 28 27.700,22.376,0.034,21.994,0.099
1 00 24.270,-33 28 28.200,22.403,0.036,21.798,0.080
1 00 57.730,-33 28 28.400,22.242,0.032,21.532,0.064
0 59 38.530,-33 28 29.200,20.116,0.007,19.467,0.012
1 00 05.570,-33 28 29.300,22.423,0.035,22.650,0.189
0 59 25.750,-33 28 29.900,19.865,0.006,18.963,0.008
1 01 10.140,-33 28 29.900,22.137,0.029,21.576,0.067
0 58 36.620,-33 28 30.400,20.920,0.021,18.760,0.008
0 58 27.310,-33 28 30.800,20.740,0.017,20.018,0.023
1 06 33.220,-33 28 30.800,22.482,0.077,21.381,0.080
0 59 30.190,-33 28 31.600,22.455,0.035,22.564,0.171
1 05 55.410,-33 28 31.700,22.876,0.125,20.548,0.037
1 06 27.940,-33 28 31.800,23.662,0.214,22.242,0.166
1 04 22.270,-33 28 32.000,20.245,0.017,19.661,0.022
0 59 02.200,-33 28 32.200,18.906,0.004,17.508,0.003
0 53 57.350,-33 28 32.500,20.327,0.018,18.444,0.007
0 54 54.530,-33 28 33.000,19.841,0.008,16.963,0.002
1 00 08.650,-33 28 33.500,23.289,0.083,20.956,0.030
1 03 20.840,-33 28 33.500,20.090,0.015,17.705,0.006
1 02 37.150,-33 28 34.100,20.914,0.026,18.471,0.010
1 01 50.440,-33 28 34.200,17.571,0.004,16.000,0.002
1 05 09.160,-33 28 34.200,22.008,0.034,19.929,0.019
1 06 56.480,-33 28 34.700,22.887,0.130,19.833,0.021
0 59 47.110,-33 28 35.200,22.086,0.028,21.460,0.060
0 59 58.930,-33 28 35.200,17.753,0.002,15.559,0.001
1 00 33.390,-33 28 35.500,20.520,0.009,20.540,0.030
0 57 10.210,-33 28 35.700,17.859,0.003,16.775,0.002
1 05 01.050,-33 28 36.700,21.399,0.031,20.831,0.053
0 54 23.450,-33 28 37.300,21.912,0.064,20.176,0.030
0 59 39.060,-33 28 37.800,20.145,0.008,19.253,0.010
0 59 42.210,-33 28 38.000,21.860,0.022,22.205,0.132
0 53 05.420,-33 28 38.100,16.566,0.002,15.679,0.001
1 01 19.130,-33 28 38.100,21.610,0.021,19.199,0.007
1 04 14.830,-33 28 38.300,17.873,0.003,17.678,0.005
1 00 08.070,-33 28 38.500,17.909,0.002,16.364,0.002
1 03 36.930,-33 28 38.700,16.318,0.001,15.736,0.001
0 54 51.910,-33 28 38.900,18.513,0.004,16.365,0.002
1 00 19.280,-33 28 39.000,21.920,0.025,21.282,0.052
1 05 32.710,-33 28 39.100,16.142,0.001,14.781,0.001
1 00 51.760,-33 28 39.400,20.839,0.012,19.509,0.011
0 53 39.370,-33 28 39.600,20.390,0.019,18.245,0.006
0 58 30.820,-33 28 40.000,17.610,0.003,16.407,0.002
0 58 37.800,-33 28 40.100,21.419,0.027,20.647,0.038
0 53 54.860,-33 28 40.500,23.757,0.305,22.650,0.262
1 00 17.320,-33 28 40.600,22.125,0.029,21.477,0.061
1 00 00.950,-33 28 40.700,22.136,0.029,21.571,0.068
1 03 37.850,-33 28 41.100,21.185,0.036,20.713,0.052
0 56 59.880,-33 28 41.200,16.682,0.002,14.859,0.001
0 58 52.270,-33 28 41.200,20.214,0.007,19.940,0.016
1 02 22.210,-33 28 41.200,16.928,0.002,16.237,0.003
1 04 53.670,-33 28 41.200,22.184,0.060,21.563,0.097
1 00 31.980,-33 28 41.500,22.197,0.030,21.617,0.069
1 02 41.780,-33 28 42.000,22.014,0.064,19.405,0.021
0 59 37.990,-33 28 42.600,20.291,0.008,19.786,0.015
1 03 29.400,-33 28 42.800,20.195,0.016,19.531,0.018
0 59 38.670,-33 28 43.700,22.881,0.050,22.658,0.178
1 00 59.240,-33 28 43.700,21.556,0.021,19.021,0.007
0 54 29.040,-33 28 43.800,21.920,0.068,19.465,0.016
1 01 27.740,-33 28 44.300,19.149,0.008,18.857,0.015
0 58 53.850,-33 28 44.400,21.878,0.023,21.162,0.042
0 57 11.310,-33 28 44.800,21.091,0.019,18.845,0.008
0 59 57.870,-33 28 45.200,21.432,0.017,20.700,0.031
1 01 07.570,-33 28 45.300,19.093,0.004,18.095,0.004
0 58 20.170,-33 28 45.700,14.871,0.001,14.192,0.001
0 59 13.720,-33 28 46.900,19.165,0.004,18.262,0.005
0 59 28.890,-33 28 46.900,19.276,0.005,18.343,0.005
0 59 22.980,-33 28 47.200,20.394,0.013,19.607,0.017
1 06 03.940,-33 28 47.800,20.549,0.012,19.396,0.013
1 00 39.270,-33 28 48.100,23.424,0.089,21.520,0.051
0 59 59.350,-33 28 48.400,20.270,0.008,20.235,0.024
0 53 21.770,-33 28 48.500,21.787,0.063,19.286,0.014
1 01 11.830,-33 28 48.700,20.112,0.007,19.771,0.015
1 01 18.610,-33 28 48.800,21.957,0.025,21.280,0.050
0 55 17.830,-33 28 49.400,20.877,0.015,19.988,0.021
1 06 14.160,-33 28 49.400,22.925,0.105,23.019,0.339
0 55 27.810,-33 28 49.500,16.532,0.001,16.088,0.002
0 55 26.910,-33 28 49.900,22.242,0.045,19.961,0.018
1 00 01.930,-33 28 50.200,22.386,0.035,21.754,0.078
1 01 21.440,-33 28 51.600,22.544,0.039,21.925,0.088
1 00 46.680,-33 28 51.700,20.096,0.007,19.554,0.013
0 57 15.790,-33 28 51.800,15.898,0.001,14.807,0.001
0 57 14.370,-33 28 52.400,18.187,0.003,17.228,0.003
1 00 28.490,-33 28 52.500,18.379,0.003,17.300,0.003
1 04 28.830,-33 28 52.900,21.598,0.055,20.616,0.050
1 06 50.540,-33 28 53.200,20.998,0.017,19.325,0.013
1 06 10.860,-33 28 53.700,22.416,0.046,21.051,0.052
1 00 33.210,-33 28 53.800,18.099,0.003,17.019,0.002
1 03 28.590,-33 28 54.000,16.736,0.002,16.218,0.002
1 04 56.910,-33 28 54.200,20.942,0.015,18.560,0.006
1 04 11.170,-33 28 54.300,21.324,0.042,20.948,0.069
